imdbid,imdbtitle,releaseyear,rating,movieid
1226229,GET HIM TO THE GREEK,2010,6.3,1
8367814,THE GENTLEMEN,2019,7.8,2
1385826,THE ADJUSTMENT BUREAU,2011,7,3
1813757,WHO KILLED CAPTAIN ALEX?,2010,7.9,4
88930,CLUE,1985,7.2,5
1748122,MOONRISE KINGDOM,2012,7.8,6
9898858,COFFEE & KAREEM,2020,5.1,7
102685,POINT BREAK,1991,7.2,8
348333,WAITING...,2005,6.7,9
1645170,THE DICTATOR,2012,6.4,10
320661,KINGDOM OF HEAVEN,2005,7.2,11
96928,BILL & TED'S EXCELLENT ADVENTURE,1989,6.9,12
101452,BILL & TED'S BOGUS JOURNEY,1991,6.3,13
5164214,OCEAN'S EIGHT,2018,6.3,14
6521876,JAY AND SILENT BOB REBOOT,2019,5.6,15
240772,OCEAN'S ELEVEN,2001,7.7,16
463854,28 WEEKS LATER,2007,6.9,17
76729,SMOKEY AND THE BANDIT,1977,6.9,18
6254796,ARI SHAFFIR: DOUBLE NEGATIVE,2017,6.8,19
910936,PINEAPPLE EXPRESS,2008,6.9,20
278488,HOW HIGH,2001,6.2,21
120693,HALF BAKED,1998,6.6,22
456554,GRANDMA'S BOY,2006,6.9,23
365830,TENACIOUS D IN THE PICK OF DESTINY,2006,6.8,24
2788710,THE INTERVIEW,2014,6.5,25
443453,BORAT,2006,7.3,26
93058,FULL METAL JACKET,1987,8.3,27
120663,EYES WIDE SHUT,1999,7.5,28
443706,ZODIAC,2007,7.7,29
10230994,BECKETT,2021,5.7,30
425112,HOT FUZZ,2007,7.8,31
11864802,UFC 249: KHABIB VS. FERGUSON,2020,8,32
7394674,BLOOD QUANTUM,2019,5.6,33
118715,THE BIG LEBOWSKI,1998,8.1,34
47478,SEVEN SAMURAI,1954,8.6,35
317248,CITY OF GOD,2002,8.6,36
3152592,SCOOB!,2020,5.6,37
5231642,UFC 171: HENDRICKS VS. LAWLER,2014,7.4,38
6199572,CAPONE,2020,4.7,39
476031,UFC: ULTIMATE FIGHT NIGHT,2005,7.5,40
9684220,BAD TRIP,2021,6.5,41
838221,THE DARJEELING LIMITED,2007,7.2,42
349903,OCEAN'S TWELVE,2004,6.5,43
27977,MODERN TIMES,1936,8.5,44
46438,TOKYO STORY,1953,8.2,45
12466128,DOUG STANHOPE: THE DYING OF A LAST BREED,2020,7.2,46
21836654,SAM MORRIL: SAME TIME TOMORROW,2022,7.3,47
88847,THE BREAKFAST CLUB,1985,7.8,48
16280138,MAGIC MIKE'S LAST DANCE,2023,5.7,49
8851668,THE LOVEBIRDS,2020,6.1,50
109424,CHUNGKING EXPRESS,1994,8,51
166924,MULHOLLAND DRIVE,2001,7.9,52
50976,THE SEVENTH SEAL,1957,8.1,53
5580036,"I, TONYA",2017,7.5,54
14318270,LOUIS THEROUX: SHOOTING JOE EXOTIC,2021,6.7,55
254686,THE PIANO TEACHER,2001,7.5,56
1856101,BLADE RUNNER 2049,2017,8,57
8488746,FISTS OF FURY,2016,4.2,58
1295072,THE TROTSKY,2009,6.7,59
1355640,THE SHOCK DOCTRINE,2009,7.6,60
9777644,DA 5 BLOODS,2020,6.5,61
318462,THE MOTORCYCLE DIARIES,2004,7.7,62
2380564,SWEARNET: THE MOVIE,2014,6,63
3244992,TRAILER PARK BOYS: DON'T LEGALIZE IT,2014,7.3,64
137523,FIGHT CLUB,1999,8.8,65
496806,OCEAN'S THIRTEEN,2007,6.9,66
97216,DO THE RIGHT THING,1989,8,67
8580274,EUROVISION SONG CONTEST: THE STORY OF FIRE SAGA,2020,6.5,68
8079248,YESTERDAY,2019,6.8,69
59749,THE SPY WHO CAME IN FROM THE COLD,1965,7.6,70
181865,TRAFFIC,2000,7.6,71
67328,THE LAST PICTURE SHOW,1971,8,72
3104988,CRAZY RICH ASIANS,2018,6.9,73
9686708,THE KING OF STATEN ISLAND,2020,7.1,74
1053424,REPO MEN,2010,6.3,75
7556122,THE OLD GUARD,2020,6.6,76
6146586,JOHN WICK: CHAPTER 3 - PARABELLUM,2019,7.4,77
78446,UP IN SMOKE,1978,6.9,78
9484998,PALM SPRINGS,2020,7.4,79
55630,YOJIMBO,1961,8.2,80
86541,VIDEODROME,1983,7.2,81
31971,STAGECOACH,1939,7.8,82
58461,A FISTFUL OF DOLLARS,1964,7.9,83
7984734,THE LIGHTHOUSE,2019,7.4,84
72417,A WOMAN UNDER THE INFLUENCE,1974,8.1,85
167261,THE LORD OF THE RINGS: THE TWO TOWERS,2002,8.8,86
167260,THE LORD OF THE RINGS: THE RETURN OF THE KING,2003,9,87
12724622,ANELKA: MISUNDERSTOOD,2020,6.4,88
6017756,RADIOACTIVE,2019,6.2,89
19887218,JOE LIST: THIS YEAR'S MATERIAL,2022,7.4,90
7550000,PROJECT POWER,2020,6,91
12179904,MAGNUM DOPUS: THE MAKING OF JAY AND SILENT BOB REBOOT,2020,6.7,92
11615290,BEASTIE BOYS STORY,2020,7.7,93
76759,STAR WARS: EPISODE IV - A NEW HOPE,1977,8.6,94
1499658,HORRIBLE BOSSES,2011,6.9,95
